Rank,Name,Birth Date,Age,Gender,Self made/Inherited,2019 Wealth,2019 Rank,2020 Wealth,2020 Rank,2021 Wealth,2021 Rank,2022 Wealth,2022 Rank,2023 Wealth,2023 Rank,2024 Wealth,Industry,Company,Continent,Country,Yearly Median Salary,Monthly Median Salary,Life Expectancy,GDP (In trillions of $),Population (In Millions)
1,Elon Musk,6/28/1971,53,Male,Self made,22.3,32,24.6,28,151.0,2,219.0,1,180.0,2,239.0,Automotive,"Tesla, SpaceX",North America,United States,94500,7875,77,28.78,341.8
2,Jeff Bezos,1/12/1964,60,Male,Self made,131.0,1,113.0,1,177.0,1,171.0,2,114.0,3,189.8,Technology,Amazon,North America,United States,94500,7875,77,28.78,341.8
3,Bernard Arnault & family,3/5/1949,75,Male,Self made,76.0,4,76.0,3,150.0,3,158.0,3,211.0,1,189.2,Fashion & Retail,LVMH,Europa,France,54245,4520,68,3.93,1441.7
4,Mark Zuckerberg,5/14/1984,40,Male,Self made,62.3,8,54.7,7,97.0,5,67.3,15,64.4,16,179.0,Technology,Facebook,North America,United States,94500,7875,77,28.78,341.8
5,Larry Ellison,8/17/1944,80,Male,Self made,62.5,7,59.0,5,93.0,7,106.0,8,107.0,4,170.7,Technology,Oracle,North America,United States,94500,7875,77,28.78,341.8
6,Warren Buffett,8/30/1930,94,Male,Self made,82.5,3,67.5,4,96.0,6,118.0,5,106.0,5,146.0,Finance & Investments,Berkshire Hathaway,North America,United States,94500,7875,77,28.78,341.8
7,Larry Page,3/26/1973,51,Male,Self made,50.8,10,50.9,13,91.5,8,111.0,6,79.2,12,135.7,Technology,Google,North America,United States,94500,7875,77,28.78,341.8
8,Bill Gates,10/28/1955,68,Male,Self made,96.5,2,98.0,2,124.0,4,129.0,4,104.0,6,133.0,Technology,Microsoft,North America,United States,94500,7875,77,28.78,341.8
9,Sergey Brin,8/21/1973,51,Male,Self made,49.8,13,49.1,14,89.0,9,107.0,7,76.0,14,129.9,Technology,Google,North America,United States,94500,7875,77,28.78,341.8
10,Amancio Ortega,3/28/1936,88,Male,Self made,62.7,6,55.1,6,77.0,11,59.6,23,77.3,13,121.9,Fashion & Retail,Zara,Europa,Spain,34333,2861,83,1.647,47.5
11,Steve Ballmer,3/24/1956,68,Male,Self made,41.2,18,52.7,11,68.7,14,91.4,9,80.7,10,121.1,Technology,Microsoft,North America,United States,94500,7875,77,28.78,341.8
12,Mukesh Ambani,4/19/1957,67,Male,Self made,50.0,12,36.8,21,84.5,10,90.7,10,83.4,9,115.5,Diversified,Reliance Industries,Asia,India,4588,382,82,0.34,1.3
13,Jensen Huang,2/17/1963,61,Male,Self made,3.8,84,4.7,84,11.8,83,20.6,66,21.1,72,109.8,Technology,Nvidia,North America,United States,94500,7875,77,28.78,341.8
14,Michael Bloomberg,2/14/1942,82,Male,Self made,55.5,9,48.0,16,59.0,20,82.0,12,94.5,7,104.7,Finance & Investments,Bloomberg LP,North America,United States,94500,7875,77,28.78,341.8
15,Michael Dell,2/23/1965,59,Male,Self made,34.3,21,22.9,30,45.1,30,55.1,24,50.1,23,98.9,Technology,Dell Technologies,North America,United States,94500,7875,77,28.78,341.8
16,Jim Walton & family,6/7/1948,76,Male,Inherited,44.6,15,54.6,8,60.2,18,66.2,16,58.8,19,94.8,Fashion & Retail,Walmart,North America,United States,94500,7875,77,28.78,341.8
17,Rob Walton & family,10/27/1944,79,Male,Inherited,44.3,17,54.1,10,59.5,19,65.0,19,57.6,20,93.2,Fashion & Retail,Walmart,North America,United States,94500,7875,77,28.78,341.8
18,Francoise Bettencourt Meyers,7/10/1953,71,Female,Inherited,49.3,14,48.9,15,73.6,12,74.8,14,80.5,11,89.5,Fashion & Retail,L'Oréal,Europa,France,54245,4520,68,3.93,1441.7
