Pablo Longoria Position,Mercato Season,Date,Name of Player,Age,Position,Club,Country of Championship,Citizenship,Price, Fee ,Agent/Agency, Transfermrkt Valuation at time of transfer ,First Team Coach
Managing Director Professional Football,Summer,9/1/2020,Luis Enrique,18,Winger,Botafogo,Brazil,Brazil,Transfer, 8 000 000 ,International Sport Management & Consulting, 5 000 000 ,Andre Villas Boas
Managing Director Professional Football,Summer,7/1/2020,Leonardi Balerdi,21,Central Defender,Borussia Dortmund,Germany,Argentina,Loan, 1 000 000 ,SP, 7 200 000 ,Andre Villas Boas
Managing Director Professional Football,Summer,7/1/2020,Pape Gueye,21,Defensive Midfielder,Le Havre,France,Senegal,Free, € -   ,Pierre-Henri Bovis, 1 600 000 ,Andre Villas Boas
Managing Director Professional Football,Summer,8/1/2020,Yuto Nagatomo,33,Left-Back,Galatasaray,Turkiye,Japan,Free, € -   ,Roberto Tukada, 800 000 ,Andre Villas Boas
Managing Director Professional Football,Summer,10/1/2020,Michael Cuisance,21,Central Midfielder,Bayern Munich,Germany,France,Loan, € -   ,Yaats sports, 10 000 000 ,Andre Villas Boas
Managing Director Professional Football,Winter,1/1/2021,Arkadiusz Milik,26,Striker,Napoli,Italy,Poland,Loan, 3 930 000 ,F-MG, 22 000 000 ,Andre Villas Boas
Managing Director Professional Football,Winter,1/1/2021,Pol Lirola,23,Right-Back,Fiorentina,Italy,Spain,Loan, 490 000 ,Universal Sports Group, 8 000 000 ,Andre Villas Boas
Managing Director Professional Football,Winter,2/1/2021,Olivier Ntcham,24,Attacking Midfielder,Celtic,Scotland,Poland,Loan, € -   ,Unique Sports Management, 3 500 000 ,Nasser Larguet
President,Summer,7/1/2021,Gerson,24,Attacking Midfielder,Flamengo,Brazil,Brazil,Transfer, 20 500 000 ,Relatives, 20 000 000 ,Jorge Sampaoli
President,Summer,7/1/2021,Pol Lirola,24,Right-Back,Fiorentina,Italy,Spain,Transfer, 13 000 000 ,Universal Sports Group, 9 000 000 ,Jorge Sampaoli
President,Summer,7/1/2021,Leonardi Balerdi,22,Central Defender,Borussia Dortmund,Germany,Argentina,Transfer, 11 000 000 ,SP, 8 000 000 ,Jorge Sampaoli
President,Summer,7/1/2021,Luan Peres,26,Central Defender,Santos,Brazil,Brazil,Transfer, 4 500 000 ,Victrix, 2 000 000 ,Jorge Sampaoli
President,Summer,7/1/2021,Konrad de la Fuente,19,Winger,Barcelona,Spain,United States,Transfer, 3 000 000 ,KIN Partners, 4 000 000 ,Jorge Sampaoli
President,Summer,7/1/2021,Pau Lopez,26,Goalkeeper,Roma,Italy,Spain,Loan, 720 000 ,Goal Management, 10 000 000 ,Jorge Sampaoli
President,Summer,7/1/2021,Cengiz Under,23,Winger,Roma,Italy,Turkiye,Loan, 500 000 ,FutureBall, 18 000 000 ,Jorge Sampaoli
President,Summer,7/1/2021,Bamba Dieng,21,Striker,Diambars,Cameroun,Cameroun,Transfer, 400 000 ,Seydou Bocar Seck, 700 000 ,Jorge Sampaoli
President,Summer,7/1/2021,Matteo Guendouzi,22,Central Midfielder,Arsenal,England,France,Loan, € -   ,2SAgency, 20 000 000 ,Jorge Sampaoli
President,Summer,7/1/2021,William Saliba,20,Central Midfielder,Arsenal,England,France,Loan, € -   ,ND SPORTS MANAGEMENT, 18 000 000 ,Jorge Sampaoli
President,Summer,8/1/2021,Amine Harit,24,Attacking Midfielder,Shalke 04,Germany,Morocco,Loan, € -   ,Sport Cover, 10 000 000 ,Jorge Sampaoli
President,Winter,1/1/2022,Cedric Bakambu,30,Striker,Guoan,China,DR Congo,Free, € -   ,ICM Stellar Sports, 12 000 000 ,Jorge Sampaoli
President,Winter,1/1/2022,Sead Kolasinac,28,Left-Back,Arsenal,England,Bosnia,Free, € -   ,Unique Sports Group, 3 000 000 ,Jorge Sampaoli
President,Winter,1/1/2022,Samuel Gigot,28,Central Defender,Lokomotic Moscow,Russia,France,Transfer, 500  000 ,MASALA FOOTBALL MANAGEMENT, 11 000 000 ,Jorge Sampaoli
President,Summer,8/1/2022,Jordan Veretout,29,Central Midfielder,Roma,Italy,France,Transfer, 12 500 000 ,Kelyxane Sport Agency, 17 000 000 ,Igor Tudor
President,Summer,7/1/2022,Pau Lopez,27,Goalkeeper,Roma,Italy,Spain,Transfer, 12 000 000 ,Goal Management, 12 000 000 ,Igor Tudor
President,Summer,7/1/2022,Cengiz Under,24,Winger,Roma,Italy,Turkiye,Transfer, 11 400 000 ,FutureBall, 22 000 000 ,Igor Tudor
President,Summer,7/1/2022,Matteo Guendouzi,23,Central Midfielder,Arsenal,England,France,Transfer, 11 000 000 ,2SAgency, 25 000 000 ,Igor Tudor
President,Summer,7/1/2022,Luis Suarez,24,Striker,Almeria,Spain,Colombia,Transfer, 10 000 000 ,ICM Stellar Sports, 9 000 000 ,Igor Tudor
President,Summer,7/1/2022,Arkadiusz Milik,28,Striker,Napoli,Italy,Poland,Transfer, 9 700 000 ,F-MG, 16 000 000 ,Igor Tudor
President,Summer,7/1/2022,Jonathan Clauss,29,Right-Back,Lens,France,France,Transfer, 7 500 000 ,YOU FIRST, 15 000 000 ,Igor Tudor
President,Summer,7/1/2022,Issak Toure,19,Central Defender,Le Havre,France,France,Transfer, 5 500 000 ,ND SPORTS MANAGEMENT, 5 000 000 ,Igor Tudor
President,Summer,8/1/2022,Eric Bailly,28,Central Defender,Manchester United,England,Ivory Coast,Loan, € -   ,AMS CONSULTING, 6 000 000 ,Igor Tudor
President,Summer,7/1/2022,Chancel Mbemba,27,Central Defender,Porto,Portugal,DR Congo,Free, € -   ,NA, 17 000 000 ,Igor Tudor
President,Summer,8/1/2022,Alexis Sanchez,33,Striker,Inter Milan,Italy,Chile,Free, € -   ,Fernando Felicevich, 3 500 000 ,Igor Tudor
President,Summer,7/1/2022,Bartug Elmaz,19,Central Midfielder,Galatasaray,Turkiye,Turkiye,Free, € -   ,FutureBall, 300 000 ,Igor Tudor
President,Summer,7/1/2022,Nuno Tavares,22,Left-Back,Arsenal,England,Portugal,Loan, € -   ,Prodigy Players, 15 000 000 ,Igor Tudor
President,Summer,9/1/2022,Amine Harit,25,Attacking Midfielder,Schalke 04,Germany,Morocco,Loan, € -   ,Sport Cover, 10 000 000 ,Igor Tudor
President,Summer,8/1/2022,Issa Kabore,21,Right-Back,Manchester City,England,Burkina Faso,Loan, € -   ,Forza Sports Group, 4 000 000 ,Igor Tudor
President,Summer,7/1/2022,Ruben Blanco,28,Goalkeeper,Celta Vigo,Spain,Spain,Loan, € -   ,Media Base Sports, 3 000 000 ,Igor Tudor
